participant_id,day,run_km,training_min,zone2_min,steps,sleep_hrs,bedtime_hr,protein_g,energy_kcal
1,64,6.7,34,21,10027,7.0,22.8,88,2682
1,66,7.5,43,22,10017,7.5,23.2,95,2744
1,67,6.8,44,29,9895,7.2,22.9,84,2582
1,68,7.1,35,26,11043,7.2,23.0,80,2723
1,70,5.7,41,21,12055,7.4,22.7,73,2422
1,71,5.2,43,24,12294,7.4,22.7,70,2624
1,72,5.6,45,25,10875,7.3,22.5,79,2366
1,73,4.9,45,24,10040,7.5,22.8,87,2407
1,74,5.8,33,24,10277,8.0,22.8,90,2524
1,75,6.4,32,24,8951,7.7,22.9,80,2490
1,76,5.9,33,25,9333,7.7,23.5,91,2558
1,77,7.3,36,23,9977,7.5,23.9,81,2728
1,78,6.1,38,24,10370,7.3,23.7,90,2669
1,80,5.5,43,30,9456,7.8,23.7,85,2591
1,84,6.3,46,18,8309,7.7,23.7,95,2161
1,87,4.6,28,26,9394,7.5,23.3,84,2600
1,89,7.2,37,25,8468,7.3,23.1,77,2689
1,92,8.6,40,25,10755,7.1,23.2,76,2377
1,93,7.5,40,26,10736,7.1,23.3,83,2293
1,95,6.5,22,24,9906,7.2,23.3,82,2374
1,96,5.6,32,23,9732,7.6,23.4,89,2460
1,97,5.2,30,27,9291,7.8,23.0,81,2599
1,98,5.8,29,28,9790,7.7,22.7,85,2593
1,99,5.2,28,27,10778,7.7,22.3,86,2584
1,100,4.9,31,25,10393,7.6,22.2,76,2680
2,1,2.1,50,27,6995,5.8,22.1,143,2158
2,2,1.7,49,23,7361,5.9,22.1,149,2194
2,3,1.5,43,29,8326,6.1,21.9,141,2154
2,4,1.8,46,23,8009,6.2,21.9,124,2225
2,5,1.6,36,24,7931,6.1,22.5,126,2268
2,6,3.6,18,27,7928,6.4,22.5,129,2313
2,9,2.3,46,25,8905,6.8,22.2,129,2204
2,12,3.3,43,21,7982,7.1,22.7,116,2142
2,13,4.0,47,23,6951,6.9,22.5,114,2118
2,14,3.5,39,24,7607,7.1,22.7,123,2016
2,15,3.6,47,23,7411,7.3,22.5,112,2154
2,16,2.7,42,25,8539,7.2,22.1,126,2169
2,17,2.9,39,24,7345,7.2,22.1,129,2135
2,18,3.1,34,27,8930,7.3,22.3,114,2227
2,19,3.8,34,32,8812,7.5,22.3,110,2472
2,20,4.5,45,23,8671,7.2,22.3,112,2414
2,21,3.0,48,24,7412,7.3,22.1,112,2389
2,23,2.6,34,23,7861,7.4,21.8,105,2428
2,24,2.4,30,25,7773,7.5,21.8,110,2379
2,25,1.6,29,22,6126,7.4,21.9,99,2272
2,26,2.7,37,20,6307,7.1,22.2,114,2528
2,27,3.6,50,26,6751,7.4,21.9,118,2448
2,28,3.8,40,28,7669,7.4,22.0,117,2312
2,31,3.1,39,28,6225,7.9,22.3,119,2132
2,32,1.2,48,29,7287,7.7,22.1,127,2213
2,33,0.0,57,27,8353,7.2,22.3,121,2407
2,34,1.1,41,24,9629,7.3,22.7,124,2483
2,35,0.8,31,24,8814,7.4,22.7,119,2515
2,37,1.9,38,25,7297,7.1,23.0,120,2431
2,38,2.7,42,21,6624,7.0,23.0,117,2383
2,39,1.8,40,19,8033,7.2,23.1,107,2379
2,40,1.4,35,24,7394,7.2,23.4,114,2326
2,41,2.3,43,25,7395,7.1,22.9,111,2217
2,42,2.2,42,30,8339,7.2,22.7,118,2152
2,44,2.4,42,25,8766,6.7,22.2,122,2456
2,45,2.7,45,22,8518,6.6,22.0,139,2627
2,46,3.9,53,14,8622,6.7,22.5,144,2357
2,47,2.4,48,19,7736,6.7,22.6,128,2419
2,48,1.0,46,23,7725,7.1,22.8,135,2361
2,50,3.1,43,29,7358,7.2,22.7,126,2376
2,51,3.4,48,32,8594,7.4,22.7,120,2471
2,52,3.7,31,22,7660,7.2,22.6,133,2110
2,55,1.8,40,30,6636,7.0,22.4,118,2264
2,56,2.3,35,25,6878,7.0,22.5,106,2402
2,57,2.5,49,23,5819,7.1,22.0,101,2192
2,58,0.8,43,29,6176,7.2,21.9,97,2238
2,59,1.6,46,23,6761,7.1,21.6,106,2366
2,61,1.6,44,24,7904,7.4,22.4,112,2167
2,65,3.9,38,27,4761,7.9,22.3,132,2085
2,67,2.9,33,23,6544,7.4,22.5,129,2330
2,68,3.7,29,27,6624,7.4,22.6,122,2450
2,71,4.4,34,21,9140,7.2,22.6,137,2383
2,72,5.9,32,24,9688,6.8,22.1,119,2438
2,74,3.0,52,16,8992,6.2,21.9,126,1960
2,75,2.8,51,21,8286,6.3,21.7,123,2110
2,76,3.1,42,23,8042,6.6,21.9,118,2039
2,78,1.9,24,22,6803,6.7,21.8,120,2011
2,79,1.3,35,24,8635,6.4,22.0,110,1948
2,80,1.9,42,25,8612,6.5,22.1,115,2150
2,83,3.8,49,22,8473,6.4,21.5,114,2101
2,84,2.9,39,23,7681,6.6,21.3,117,2024
2,85,2.8,42,24,7995,6.4,21.1,123,1851
2,86,2.8,41,29,7318,6.6,21.0,119,1807
2,88,3.4,42,25,8756,6.3,21.8,115,1890
2,90,2.6,36,21,8291,6.8,21.5,123,2004
2,91,2.6,37,22,7698,6.6,21.6,128,1951
2,93,2.3,26,28,8579,7.0,22.2,123,2053
2,94,2.8,38,24,6046,7.1,22.1,127,2124
2,95,2.3,36,24,7084,7.2,22.3,121,2099
2,96,1.3,45,23,7644,7.3,22.1,139,2157
2,97,1.4,51,19,8233,7.0,22.0,131,2239
2,98,2.6,37,21,7901,7.1,22.1,133,2161
3,1,3.7,76,12,9069,6.9,22.0,72,1963
3,2,3.2,72,18,10330,7.5,22.6,64,1982
3,3,4.3,65,21,10063,7.0,23.1,79,1959
3,4,5.0,78,16,9870,6.9,22.4,84,1890
3,5,4.0,82,18,11593,6.7,22.5,82,1975
3,7,4.0,78,18,11159,6.4,22.9,74,1950
3,8,2.9,80,20,10791,6.7,22.5,70,1881
3,11,5.1,83,20,11408,6.6,23.0,87,2027
3,12,4.4,80,25,10545,6.6,23.1,76,2012
3,15,5.4,77,20,9921,7.1,23.3,85,2120
3,17,5.5,77,25,9481,6.9,22.7,72,2172
3,20,4.5,80,18,9945,7.0,22.4,72,2069
3,23,4.6,85,20,9109,7.1,22.3,68,1931
3,24,5.7,78,19,11103,7.4,22.6,81,1981
3,25,5.7,78,21,10117,7.3,22.8,69,1960
3,26,6.8,77,24,10578,7.5,22.7,69,1951
3,29,4.6,74,24,10262,6.8,21.7,82,2504
3,30,5.8,78,20,10559,6.9,22.0,82,2366
3,31,5.0,84,20,10852,7.0,21.9,80,2313
3,34,4.7,84,20,11084,7.9,22.0,79,2311
3,38,4.2,81,21,10411,7.4,22.3,76,2025
3,39,4.5,75,22,10358,7.2,22.1,56,1969
3,41,5.4,84,19,11066,6.8,22.4,59,1939
3,44,6.5,80,16,11102,6.6,22.0,93,1885
3,47,5.1,88,25,11596,6.0,21.9,83,1858
3,48,3.9,76,24,12171,6.0,21.7,84,2031
3,49,5.9,83,19,11179,6.2,21.6,77,2024
3,51,4.7,69,20,12256,6.8,21.9,62,2004
3,53,5.8,69,21,11469,6.7,22.6,70,2114
3,54,5.8,71,24,9686,6.8,22.5,81,1868
3,59,4.8,74,18,11292,7.1,21.5,92,2040
3,60,4.5,66,21,11469,7.0,21.5,98,2130
3,61,4.6,78,21,10026,6.8,21.5,94,2049
3,63,5.8,77,20,10448,6.5,21.4,95,1856
3,65,5.0,71,22,10656,6.8,21.2,85,1930
3,66,5.3,73,17,10484,6.8,21.6,84,1843
3,67,3.8,77,24,9251,6.7,22.0,97,2180
3,71,3.7,65,18,9607,7.5,22.1,87,1919
3,74,4.8,82,18,8131,7.6,22.4,72,2149
3,76,6.3,77,14,9093,7.4,22.7,79,2269
3,77,7.2,83,19,9556,7.7,22.7,75,2257
3,78,7.3,84,19,9259,7.5,22.8,75,2108
3,79,6.7,74,18,9777,7.7,22.8,72,1960
3,80,6.5,68,20,10583,7.3,22.8,59,1780
3,84,5.3,69,15,9764,6.8,23.0,78,1984
3,85,4.8,71,19,10193,7.1,22.8,89,2136
3,88,3.1,68,17,11596,6.9,22.2,62,1892
3,90,4.8,78,22,11317,6.3,21.8,69,1856
3,91,5.4,71,21,9885,6.1,21.6,77,1621
3,92,4.2,80,15,10136,6.4,22.1,68,1708
3,93,5.3,72,14,9781,6.4,22.1,80,1927
3,97,6.9,77,13,9864,6.2,22.1,82,2099
3,99,5.9,69,18,10542,6.8,22.2,60,2091
3,100,5.4,63,13,9621,6.4,22.5,52,2227
4,1,4.8,52,7,10492,7.6,21.6,109,1781
4,2,5.5,51,5,9709,7.9,21.3,130,1883
4,4,6.9,58,2,8942,7.8,21.8,111,1798
4,5,7.4,47,4,8145,7.5,22.0,130,1804
4,6,7.3,50,9,9730,7.5,21.9,120,1799
4,7,6.9,51,7,9238,7.5,22.1,123,1818
4,8,7.1,54,12,8919,7.3,22.1,137,1830
4,9,6.0,57,6,8981,7.6,21.9,144,1738
4,11,3.9,58,6,8861,7.7,22.0,127,1703
4,13,4.1,57,8,7635,8.0,21.7,112,1873
4,14,6.3,46,4,7829,8.0,21.5,102,1846
4,17,5.8,55,2,8879,7.6,21.8,105,2030
4,18,6.7,70,8,9104,7.5,21.7,106,1849
4,19,6.0,61,10,9607,7.5,21.6,111,2056
4,22,7.1,55,8,9920,7.5,21.7,105,1695
4,25,4.7,56,4,9989,7.5,21.4,107,2213
4,26,3.3,58,6,9355,7.7,21.4,123,2135
4,30,5.7,57,5,8921,8.0,21.9,100,1807
4,31,4.6,45,8,7573,8.1,22.1,99,1814
4,34,4.8,56,6,9605,7.7,22.5,93,2119
4,35,3.3,58,4,10072,7.6,22.7,97,1993
4,36,4.9,41,1,10078,7.8,22.4,106,2041
4,37,4.8,51,0,8956,7.8,22.4,120,1914
4,38,4.5,47,5,8957,7.4,22.3,132,1762
4,39,4.8,48,4,8666,7.7,21.9,130,1837
4,40,4.2,54,9,7204,7.6,21.9,126,1780
4,41,5.4,53,5,6411,7.6,22.3,115,1859
4,44,4.8,58,7,7881,7.6,22.0,108,1981
4,46,5.4,47,8,8873,7.7,21.8,119,1523
4,47,5.0,44,1,9017,7.6,21.5,113,1649
4,50,6.0,45,6,9535,7.3,21.5,128,1901
4,51,7.6,47,4,8885,7.3,21.7,136,1818
4,53,6.0,46,4,10120,7.1,21.7,140,1928
4,55,5.4,43,8,8591,7.4,22.1,126,1908
4,56,5.7,35,9,8448,7.4,22.0,112,1871
4,57,6.5,41,7,7907,7.6,21.8,124,1809
4,58,5.6,44,7,8653,7.3,22.0,123,2019
4,60,4.7,55,8,8191,7.7,22.1,128,2129
4,61,5.0,51,8,7602,7.6,22.0,117,2083
4,63,4.7,54,3,7772,7.4,22.3,106,1643
4,64,4.8,52,2,7018,7.5,21.9,123,1792
4,65,4.8,50,3,7657,7.4,21.8,114,1891
4,66,5.8,37,10,8089,7.6,21.6,112,1837
4,68,5.3,43,11,9627,8.1,22.2,130,1948
4,70,5.3,45,9,9220,8.1,21.4,117,1853
4,71,6.4,59,12,9126,8.0,21.6,119,1716
4,72,6.7,47,7,9296,7.6,21.8,122,1731
4,76,4.0,56,11,8083,7.9,21.8,103,1735
4,77,4.5,56,13,7543,7.8,22.0,86,1835
4,78,6.2,47,12,8820,7.8,22.1,96,1900
4,79,6.3,54,6,7964,7.4,21.6,103,1694
4,80,5.8,49,6,7771,7.3,21.6,105,1920
4,82,4.8,55,3,7570,6.9,22.2,124,2083
4,83,3.9,41,2,7975,7.1,22.2,119,2057
4,84,3.7,44,3,8429,7.5,21.7,117,2218
4,85,5.1,47,8,9816,7.8,22.0,126,2082
4,89,5.7,52,3,9375,7.7,22.0,115,1925
4,93,5.8,60,5,8616,7.4,22.3,115,1946
4,96,6.1,55,5,9366,7.2,22.2,109,1902
4,97,4.8,43,6,8745,7.5,22.3,113,1866
4,99,6.8,39,12,9164,7.7,22.3,123,1699
4,100,8.0,47,10,8795,7.7,22.0,113,1946
5,2,2.4,23,14,6798,8.9,22.5,72,2002
5,3,2.1,24,16,7268,9.1,22.8,78,1942
5,5,2.7,30,15,6950,9.1,23.0,78,2009
5,10,1.7,33,17,6455,8.7,22.7,77,1943
5,13,2.4,27,16,7753,9.1,22.5,102,1872
5,14,2.6,29,13,8183,8.6,22.4,111,1973
5,15,3.2,42,21,7361,8.9,22.1,91,2054
5,16,2.9,28,19,7205,8.7,21.9,97,2276
5,17,2.3,30,15,7837,8.0,22.1,91,2279
5,18,2.5,30,17,7541,8.2,22.6,82,2173
5,19,3.0,27,18,8464,8.0,22.6,80,2113
5,20,4.5,34,17,8569,8.2,22.8,79,2187
5,21,3.7,26,19,7856,8.2,22.8,99,2212
5,22,3.0,36,20,6988,8.2,22.8,98,2109
5,23,3.8,37,14,6634,8.2,23.2,92,2198
5,24,3.8,30,17,7677,8.3,23.1,96,2470
5,25,3.5,40,20,7834,8.0,23.2,89,2058
5,26,1.8,31,20,6929,7.8,23.4,76,1951
5,27,2.0,36,14,7521,8.1,23.1,93,1969
5,29,2.3,33,22,8062,8.6,23.4,75,1968
5,31,1.9,33,15,7733,8.3,23.4,94,2203
5,32,2.3,29,13,8415,8.7,23.4,89,2192
5,36,1.2,34,12,7749,9.1,22.8,93,2175
5,37,3.1,19,15,8928,8.9,22.8,97,2124
5,38,2.0,27,15,8055,8.8,22.8,92,2143
5,39,2.3,26,21,7206,8.6,22.9,83,2077
5,41,2.4,48,16,7286,9.0,22.7,87,2118
5,42,2.3,37,16,8066,8.8,22.9,79,2244
5,43,2.0,41,19,8434,8.8,23.1,85,2110
5,45,0.9,42,18,9961,8.3,22.8,87,2142
5,47,3.0,32,17,6884,8.3,22.8,74,2038
5,48,3.8,32,18,7299,7.9,22.8,84,1799
5,49,3.7,25,15,7960,8.1,23.0,76,1897
5,52,1.4,36,15,8363,8.7,23.5,90,1808
5,55,1.4,32,14,6681,8.2,23.2,110,2077
5,58,1.3,33,14,6368,8.7,23.2,84,2135
5,59,1.6,23,15,7212,9.1,23.0,90,2011
5,60,2.2,19,14,6799,8.9,23.1,90,2074
5,61,2.8,24,20,8303,9.1,23.4,100,2069
5,65,3.0,14,19,6719,8.3,23.8,86,2135
5,66,2.4,24,16,7321,8.7,24.0,88,2076
5,70,3.4,33,16,8650,8.8,23.8,85,1651
5,71,4.1,27,13,9323,8.6,23.5,89,2006
5,74,2.8,41,14,7542,8.7,23.2,71,2071
5,75,2.3,32,17,8160,8.6,23.2,85,2132
5,79,3.2,26,9,8532,8.5,23.1,101,2038
5,82,3.2,30,12,9169,8.4,22.9,89,1940
5,84,2.3,27,8,7763,8.2,22.5,88,2016
5,85,3.2,19,13,7717,8.4,22.2,89,2138
5,86,3.3,17,12,7239,8.2,22.8,88,2233
5,88,2.9,27,18,7165,8.2,22.7,87,2096
5,89,3.0,25,18,7145,8.3,22.3,78,1945
5,91,2.6,32,10,9049,8.0,23.0,83,2023
5,92,2.3,29,12,7935,8.2,23.0,93,2115
5,94,2.1,25,17,8341,8.3,23.5,95,1891
5,99,1.5,34,18,8325,8.7,24.1,95,2262
6,1,5.1,42,19,5601,7.4,22.0,50,2496
6,2,4.0,33,18,5659,7.2,21.9,45,2584
6,3,4.1,34,24,6360,7.2,21.5,50,2669
6,4,4.4,43,25,5279,7.3,21.2,48,2594
6,6,2.8,28,25,3065,7.5,21.4,46,2854
6,8,3.8,47,27,4403,7.7,21.3,41,3028
6,9,4.3,37,28,4748,7.7,21.1,38,2874
6,11,3.6,37,26,4751,8.0,21.3,43,2723
6,12,3.7,35,28,4256,8.2,21.5,34,2783
6,13,5.4,41,29,4789,7.7,21.7,36,2803
6,16,3.9,35,25,4180,7.4,21.7,39,2744
6,23,4.0,33,21,4150,7.2,22.0,36,2459
6,24,4.4,38,28,5207,7.2,22.2,37,2423
6,25,4.4,40,29,4501,7.4,22.4,60,2573
6,27,3.5,40,23,5723,7.3,22.2,55,2646
6,29,4.6,47,23,5801,7.6,21.8,44,2797
6,30,4.6,41,24,6036,7.5,22.1,41,2862
6,32,5.4,48,18,6304,7.0,22.0,48,2938
6,35,5.2,36,20,4724,7.1,22.0,47,2785
6,36,3.2,32,23,4993,7.2,22.0,48,3040
6,38,2.7,37,23,6778,7.2,21.3,66,2872
6,42,3.9,50,22,4699,7.3,21.0,36,2853
6,45,4.4,48,20,4439,7.3,21.7,45,2806
6,46,4.8,46,23,3992,7.5,21.9,52,2794
6,49,4.6,45,25,4898,7.4,21.9,52,2896
6,54,5.7,25,15,5977,6.9,21.5,38,2524
6,58,4.1,20,26,5765,7.2,21.9,49,2956
6,59,5.1,23,24,4738,7.3,21.7,49,2781
6,63,4.1,50,30,4601,7.0,21.7,48,2753
6,64,5.1,45,27,5702,7.2,21.9,49,2606
6,66,4.9,42,23,5356,7.4,21.9,46,2871
6,68,4.4,49,24,5592,7.0,22.2,47,2818
6,69,4.2,55,26,5053,7.3,22.0,49,2900
6,71,4.9,43,21,6368,7.1,22.0,45,2785
6,74,3.9,53,17,6841,7.1,22.8,46,2337
6,80,5.2,46,27,5365,6.7,21.6,41,2374
6,82,5.7,42,28,5994,6.6,21.4,36,2485
6,84,4.6,23,20,5797,7.0,20.9,51,2445
6,86,4.2,35,22,6856,7.3,21.2,43,2729
6,88,5.7,43,24,6332,7.8,21.9,46,2748
6,94,4.3,38,20,6054,7.2,21.6,36,2741
6,95,4.0,42,20,5438,7.5,21.8,49,2635
6,100,3.8,38,23,6024,7.5,21.8,38,2605
7,1,5.1,49,11,10383,7.3,22.6,95,2373
7,4,4.8,37,17,9998,7.6,22.7,91,2655
7,5,5.4,34,22,10548,7.9,22.2,102,2594
7,6,4.8,32,29,9529,8.2,22.4,96,2467
7,8,4.9,38,17,10798,7.8,23.0,99,2593
7,14,7.7,26,22,10300,7.6,23.3,97,2407
7,18,5.6,33,20,9091,7.1,23.0,107,2496
7,19,5.0,35,20,9940,7.2,23.0,102,2518
7,20,4.9,36,17,9163,7.4,23.2,97,2396
7,21,5.9,32,21,8984,7.4,23.3,105,2356
7,23,5.4,37,23,9057,7.7,23.2,108,2168
7,26,6.1,32,15,9528,7.5,23.3,98,2298
7,30,6.3,36,21,8966,7.7,23.3,111,2601
7,33,6.7,34,16,10536,8.0,22.4,85,2548
7,34,5.7,36,20,9471,8.0,22.6,99,2430
7,35,6.1,33,18,9107,7.9,22.7,105,2604
7,38,5.0,31,16,10849,8.0,22.6,102,2332
7,39,4.3,25,18,9774,7.9,22.8,100,2455
7,40,5.4,32,17,9234,8.0,23.0,107,2563
7,43,5.2,31,12,8975,7.3,23.1,78,2466
7,44,6.1,40,11,9985,7.4,23.0,80,2599
7,48,4.8,29,21,9069,7.9,23.0,91,2437
7,50,5.2,33,12,8885,7.5,23.1,92,2282
7,51,5.1,41,12,7936,7.6,23.1,84,2280
7,53,4.6,41,15,8654,7.4,23.0,97,2758
7,54,5.7,39,14,9279,7.5,22.9,82,2638
7,57,5.5,35,20,9054,7.6,22.6,111,2297
7,58,5.3,30,21,10321,7.8,22.5,106,2326
7,61,7.3,38,15,8922,7.5,22.7,101,2310
7,63,5.9,38,15,11313,7.4,22.8,98,2388
7,64,5.1,42,20,9992,7.6,22.6,100,2583
7,65,5.6,33,16,10155,7.2,22.1,109,2512
7,66,5.6,29,17,10807,6.8,22.1,102,2145
7,68,5.3,24,13,9171,7.4,21.5,109,2218
7,69,5.7,26,15,9307,7.5,21.7,103,2178
7,74,5.9,38,18,10622,7.4,22.0,97,2389
7,76,5.9,38,19,9377,7.3,22.1,100,2420
7,78,5.3,42,18,11252,6.8,22.2,93,2419
7,79,5.9,42,16,9983,6.9,22.1,94,2375
7,80,4.6,33,18,10236,7.3,22.4,101,2387
7,82,6.5,36,13,9959,7.9,22.6,100,2237
7,83,5.3,32,12,10782,7.8,23.0,91,2347
7,84,5.3,39,13,10407,7.7,22.5,102,2370
7,85,4.6,45,18,10018,7.7,22.6,100,2297
7,88,5.8,46,13,9414,8.0,22.9,93,2344
7,89,6.0,36,11,9070,8.1,22.9,92,2518
7,91,5.5,34,12,9576,7.8,22.2,106,2595
7,92,6.6,32,11,9784,7.9,22.4,106,2581
7,93,7.3,40,16,10162,7.9,22.6,107,2510
7,94,5.7,36,13,9741,7.9,22.6,107,2816
7,95,5.9,41,14,8984,7.8,22.6,100,2573
7,99,6.8,41,22,10953,7.6,22.5,102,2275
7,100,5.3,42,16,9632,7.3,22.3,106,2360
8,1,2.1,48,23,8998,8.5,23.0,90,2099
8,2,2.8,54,23,8813,8.2,23.1,80,2314
8,4,2.9,52,22,9594,8.4,23.0,73,2392
8,6,2.1,58,24,8674,8.7,23.3,70,2049
8,7,2.7,61,23,8697,8.9,23.2,91,2177
8,8,2.3,59,21,8559,8.6,23.0,98,2235
8,9,2.9,55,17,7639,8.4,23.2,96,2264
8,10,2.2,52,25,8513,8.6,23.1,90,2161
8,11,2.9,60,20,7963,8.9,23.4,89,2206
8,16,3.7,67,23,9036,8.4,23.1,100,2136
8,19,4.0,56,21,7062,9.1,23.6,98,2271
8,20,3.1,52,21,7499,9.2,23.8,102,2247
8,22,2.6,50,20,6820,8.5,23.6,94,2197
8,23,3.0,47,26,6534,8.4,23.5,98,2386
8,24,1.6,45,25,5213,8.0,23.9,86,2441
8,25,2.2,49,19,6574,7.8,24.1,83,2230
8,26,2.8,53,20,7625,7.8,24.3,87,2329
8,29,2.8,39,22,8274,7.8,23.8,77,2342
8,30,4.3,44,23,6890,7.9,23.5,82,2226
8,32,3.0,54,19,8371,8.0,23.7,96,1947
8,37,1.6,51,23,9460,8.9,24.1,85,2406
8,39,1.2,61,25,8736,8.4,24.4,94,2440
8,40,2.2,62,25,8231,8.1,24.3,91,2419
8,41,2.7,63,22,9001,8.5,24.7,105,2452
8,42,2.7,53,22,8288,8.4,24.0,117,2347
8,43,2.6,46,24,7958,7.8,24.0,115,2226
8,44,2.0,63,23,8608,8.3,24.0,120,2414
8,45,1.1,58,22,8767,8.3,24.1,106,2441
8,47,1.0,55,21,8868,8.1,23.9,90,2456
8,48,2.1,52,27,9382,8.1,23.9,87,2317
8,49,1.5,51,22,9879,8.6,24.2,85,2165
8,54,2.6,51,20,8145,8.0,23.6,85,2010
8,55,1.8,61,29,6977,7.9,23.9,100,2146
8,56,2.1,60,21,6811,7.9,23.9,92,2202
8,57,1.4,45,22,8630,8.2,23.8,89,2410
8,58,2.6,56,35,8741,8.4,23.8,86,2411
8,61,2.3,55,23,9818,8.4,23.5,98,2246
8,62,2.4,50,24,8725,8.4,23.4,91,2496
8,63,1.1,58,25,9264,8.0,23.2,86,2378
8,65,0.9,63,17,9130,7.9,23.9,69,2314
8,67,1.2,50,19,8391,8.1,23.7,54,2501
8,68,1.4,51,20,7433,7.5,23.3,75,2598
8,69,1.9,49,17,8033,7.7,23.3,67,2566
8,70,2.2,43,17,8697,7.6,22.8,80,2463
8,72,2.4,48,24,8722,8.1,22.7,83,2301
8,73,3.1,46,26,7170,8.4,22.8,74,2168
8,74,2.6,48,26,8418,8.3,23.1,75,2397
8,76,2.4,60,19,8791,8.3,23.2,91,2131
8,78,1.3,58,24,8433,7.9,23.1,100,2192
8,79,0.8,54,25,9035,7.9,22.8,84,2038
8,80,1.3,52,28,9105,8.0,23.1,86,2136
8,81,1.8,57,25,9502,8.0,23.0,88,2200
8,83,2.0,58,14,8200,8.4,23.2,89,2385
8,86,2.2,53,19,7529,8.6,22.7,89,2238
8,87,3.3,61,21,6841,8.3,23.2,86,2384
8,94,1.6,46,19,8041,7.9,23.7,81,2209
8,95,0.0,48,15,7862,8.5,23.4,91,2205
8,97,0.0,63,24,6579,8.5,23.3,91,2600
8,99,1.2,56,25,8303,8.6,23.2,85,2468
8,100,2.3,62,25,8243,8.7,23.5,81,2362
9,1,7.8,18,0,9528,6.5,20.7,60,1993
9,2,6.4,17,2,9495,6.7,20.8,63,1948
9,5,6.4,12,1,8925,7.0,21.0,61,1776
9,6,7.0,23,3,10286,6.7,21.4,71,1888
9,8,7.8,27,2,10278,6.8,21.3,74,2145
9,9,8.8,30,1,10246,6.5,21.8,68,2051
9,11,8.4,22,5,10337,6.6,21.6,61,1970
9,12,7.5,31,3,11547,6.9,22.1,69,1963
9,14,6.4,30,5,10252,6.9,21.8,61,1978
9,15,8.2,18,8,10626,6.9,22.0,66,1910
9,16,7.8,18,11,10748,6.9,21.8,66,1980
9,17,6.3,17,8,10904,6.9,21.7,48,1973
9,18,6.7,25,8,9683,7.3,21.5,48,1946
9,19,7.0,17,5,9188,7.1,21.0,55,1954
9,21,6.7,19,2,9402,6.8,20.6,61,2130
9,22,6.9,27,6,8780,7.0,21.0,46,2155
9,23,8.3,14,6,10443,6.9,21.0,60,2202
9,24,6.6,22,10,10330,6.8,21.0,60,2248
9,25,6.5,30,13,11363,7.1,20.9,73,2436
9,26,6.3,31,12,10384,7.2,21.0,67,2344
9,29,7.0,25,7,9509,7.5,20.4,76,2162
9,31,7.1,27,5,9764,6.7,20.5,73,2235
9,32,7.9,24,2,9742,7.0,20.6,59,2272
9,34,8.9,23,7,9917,7.4,20.1,47,2056
9,35,8.9,28,1,8733,7.3,20.0,51,1842
9,37,9.3,34,2,7860,7.2,20.2,30,1920
9,39,7.6,35,1,9399,6.8,20.0,35,1854
9,40,8.3,31,1,9868,6.7,20.0,35,1800
9,41,8.0,26,7,8891,6.8,20.0,38,1735
9,42,8.9,29,10,8570,6.9,20.0,39,1773
